FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
050101;0000;;;;
050102;0000;;;;
050103;0000;;;;
050104;0000;;;;
050105;0000;;;;
050106;0000;;;;
050107;0000;;;;
050108;0000;;;;
050109;0000;;;;
050110;0000;;;;
050111;0000;;;;
050112;0000;;;;
050113;0000;;;;
050114;0000;;;;
050115;0000;;;;
050116;0000;;;;
050117;0000;;;;
050118;0000;;;;
050119;0000;;;;
050120;0000;;;;
050121;0000;;;;
050122;0000;;;;
050123;0000;;;;
050124;0000;;;;
050125;0000;;;;
050126;0000;;;;
050127;0000;;;;
050128;0000;;;;
050129;0000;;;;
050130;0000;;;;
050131;0000;;;;
050201;0000;;;;
050202;0000;;;;
050203;0000;;;;
050204;0000;;;;
050205;0000;;;;
050206;0000;;;;
050207;0000;;;;
050208;0000;;;;
050209;0000;;;;
050210;0000;;;;
050211;0000;;;;
050212;0000;;;;
050213;0000;;;;
050214;0000;;;;
050215;0000;;;;
050216;0000;;;;
050217;0000;;;;
050218;0000;;;;
050219;0000;;;;
050220;0000;;;;
050221;0000;;;;
050222;0000;;;;
050223;0000;;;;
050224;0000;;;;
050225;0000;;;;
050226;0000;;;;
050227;0000;;;;
050228;0000;;;;
050301;0000;;;;
050302;0000;;;;
050303;0000;;;;
050304;0000;;;;
050305;0000;;;;
050306;0000;;;;
050307;0000;;;;
050308;0000;;;;
050309;0000;;;;
050310;0000;;;;
050311;0000;;;;
050312;0000;;;;
050313;0000;;;;
050314;0000;;;;
050315;0000;;;;
050316;0000;;;;
050317;0000;;;;
050318;0000;;;;
050319;0000;;;;
050320;0000;;;;
050321;0000;;;;
050322;0000;;;;
050323;0000;;;;
050324;0000;;;;
050325;0000;;;;
050326;0000;;;;
050327;0000;;;;
050328;0000;;;;
050329;0000;;;;
050330;0000;;;;
050331;0000;;;;
050401;0000;;;;
050402;0000;;;;
050403;0000;;;;
050404;0000;;;;
050405;0000;;;;
050406;0000;;;;
050407;0000;;;;
050408;0000;;;;
050409;0000;;;;
050410;0000;;;;
050411;0000;;;;
050412;0000;;;;
050413;0000;;;;
050414;0000;;;;
050415;0000;;;;
050416;0000;;;;
050417;0000;;;;
050418;0000;;;;
050419;0000;;;;
050420;0000;;;;
050421;0000;;;;
050422;0000;;;;
050423;0000;;;;
050424;0000;;;;
050425;0000;;;;
050426;0000;;;;
050427;0000;;;;
050428;0000;;;;
050429;0000;;;;
050430;0000;;;;
050501;0000;;;;
050502;0000;;;;
050503;0000;;;;
050504;0000;;;;
050505;0000;;;;
050506;0000;;;;
050507;0000;;;;
050508;0000;;;;
050509;0000;;;;
050510;0000;;;;
050511;0000;;;;
050512;0000;;;;
050513;0000;;;;
050514;0000;;;;
050515;0000;;;;
050516;0000;;;;
050517;0000;;;;
050518;0000;;;;
050519;0000;;;;
050520;0000;;;;
050521;0000;;;;
050522;0000;;;;
050523;0000;;;;
050524;0000;;;;
050525;0000;;;;
050526;0000;;;;
050527;0000;;;;
050528;0000;;;;
050529;0000;;;;
050530;0000;;;;
050531;0000;;;;
050601;0000;;;;
050602;0000;;;;
050603;0000;;;;
050604;0000;;;;
050605;0000;;;;
050606;0000;;;;
050607;0000;;;;
050608;0000;;;;
050609;0000;;;;
050610;0000;;;;
050611;0000;;;;
050612;0000;;;;
050613;0000;;;;
050614;0000;;;;
050615;0000;;;;
050616;0000;;;;
050617;0000;;;;
050618;0000;;;;
050619;0000;;;;
050620;0000;;;;
050621;0000;;;;
050622;0000;;;;
050623;0000;;;;
050624;0000;;;;
050625;0000;;;;
050626;0000;;;;
050627;0000;;;;
050628;0000;;;;
050629;0000;;;;
050630;0000;;;;
050701;0000;;;;
050702;0000;;;;
050703;0000;;;;
050704;0000;;;;
050705;0000;;;;
050706;0000;;;;
050707;0000;;;;
050708;0000;;;;
050709;0000;;;;
050710;0000;;;;
050711;0000;;;;
050712;0000;;;;
050713;0000;;;;
050714;0000;;;;
050715;0000;;;;
050716;0000;;;;
050717;0000;;;;
050718;0000;;;;
050719;0000;;;;
050720;0000;;;;
050721;0000;;;;
050722;0000;;;;
050723;0000;;;;
050724;0000;;;;
050725;0000;;;;
050726;0000;;;;
050727;0000;;;;
050728;0000;;;;
050729;0000;;;;
050730;0000;;;;
050731;0000;;;;
050801;0000;;;;
050802;0000;;;;
050803;0000;;;;
050804;0000;;;;
050805;0000;;;;
050806;0000;;;;
050807;0000;;;;
050808;0000;;;;
050809;0000;;;;
050810;0000;;;;
050811;0000;;;;
050812;0000;;;;
050813;0000;;;;
050814;0000;;;;
050815;0000;;;;
050816;0000;;;;
050817;0000;;;;
050818;0000;;;;
050819;0000;;;;
050820;0000;;;;
050821;0000;;;;
050822;0000;;;;
050823;0000;;;;
050824;0000;;;;
050825;0000;;;;
050826;0000;;;;
050827;0000;;;;
050828;0000;;;;
050829;0000;;;;
050830;0000;;;;
050831;0000;;;;
050901;0000;;;;
050902;0000;;;;
050903;0000;;;;
050904;0000;;;;
050905;0000;;;;
050906;0000;;;;
050907;0000;;;;
050908;0000;;;;
050909;0000;;;;
050910;0000;;;;
050911;0000;;;;
050912;0000;;;;
050913;0000;;;;
050914;0000;;;;
050915;0000;;;;
050916;0000;;;;
050917;0000;;;;
050918;0000;;;;
050919;0000;;;;
